,entity,class_target
182,AOL,Organisation
183,Adobe_Systems,Organisation
184,BT_Group,Organisation
185,Ericsson,Organisation
186,General_Electric,Organisation
187,General_Motors,Organisation
188,Harley-Davidson,Organisation
189,Intel,Organisation
190,Mattel,Organisation
191,Maxis,Organisation
192,Microsoft,Organisation
193,Nintendo,Organisation
194,Nokia,Organisation
195,Philips,Organisation
196,Sony,Organisation
197,Agilent_Technologies,Organisation
198,Alstom,Organisation
199,Marks_&_Spencer,Organisation
200,Novartis,Organisation
201,Singapore_Airlines,Organisation
202,Telus,Organisation
203,Emirates_NBD,Organisation
204,Fastenal,Organisation
205,Insurance_Australia_Group,Organisation
206,AGCO,Organisation
207,AGL_Energy,Organisation
208,Allahabad_Bank,Organisation
209,Archer_Daniels_Midland,Organisation
210,Autoliv,Organisation
211,BB&T,Organisation
212,Bank_Negara_Indonesia,Organisation
213,Beiersdorf,Organisation
214,Bharat_Heavy_Electricals,Organisation
215,Thales,Philosopher
216,FirstGroup,PublicTransitSystem
217,Canadian_National_Railway,PublicTransitSystem
218,MTR,PublicTransitSystem
219,Eisai,Religious
220,Enka,TopicalConcept
